paradigm,world,ablation,seed,pc1,pc2,cluster
merge_driven,random,standard,0,-1.3744848685173652,2.6116199839236125,0
merge_driven,random,equal_abstraction_budget,0,-1.3744848685173652,2.6116199839236125,0
merge_driven,random,remove_composition,0,3.678207852674683,1.6978371373202061,1
merge_driven,random,remove_hierarchy,0,-0.033939452716632235,2.1602198758472513,3
merge_driven,no_regularities,standard,0,4.154269812703276,1.8039309513564983,1
merge_driven,no_regularities,equal_abstraction_budget,0,4.154269812703276,1.8039309513564983,1
merge_driven,no_regularities,remove_composition,0,4.154269812703276,1.8039309513564983,1
merge_driven,no_regularities,remove_hierarchy,0,4.154269812703276,1.8039309513564983,1
merge_driven,hierarchical,standard,0,-6.101772106568136,0.4314115020760545,2
merge_driven,hierarchical,equal_abstraction_budget,0,-5.557512029185027,0.7193119026298528,2
merge_driven,hierarchical,remove_composition,0,0.880840190254166,-2.681675358095041,3
merge_driven,hierarchical,remove_hierarchy,0,-1.1964623109661447,-1.6541415907967967,3
merge_driven,compositional,standard,0,-6.547330160361298,0.30660887041178086,2
merge_driven,compositional,equal_abstraction_budget,0,-5.730784605660145,0.670777545871524,2
merge_driven,compositional,remove_composition,0,0.6951910011736816,-2.733676454621822,3
merge_driven,compositional,remove_hierarchy,0,-1.2335921487822419,-1.664541810102153,3
merge_driven,partial,standard,0,-3.6398094617502434,2.0457597749180403,4
merge_driven,partial,equal_abstraction_budget,0,-3.6365302232427172,2.058510613428102,4
merge_driven,partial,remove_composition,0,1.2167034370258683,-0.2383188455042488,3
merge_driven,partial,remove_hierarchy,0,0.9203672220492174,-0.16115524553940586,3
merge_driven,anti_compositional,standard,0,-5.998380745919907,0.6898911607304461,2
merge_driven,anti_compositional,equal_abstraction_budget,0,-5.4979407058643,0.8118698970772199,2
merge_driven,anti_compositional,remove_composition,0,1.1531887981740714,-3.504035397468945,3
merge_driven,anti_compositional,remove_hierarchy,0,-0.8569975781956259,-1.3172086597739963,3
prediction_driven,random,standard,0,1.401903583788971,1.5215490815814416,3
prediction_driven,random,equal_abstraction_budget,0,1.401903583788971,1.5215490815814416,3
prediction_driven,random,remove_composition,0,3.722749874429131,1.5987851094430692,1
prediction_driven,random,remove_hierarchy,0,1.401903583788971,1.5215490815814416,3
prediction_driven,no_regularities,standard,0,4.154269812703276,1.8039309513564983,1
prediction_driven,no_regularities,equal_abstraction_budget,0,4.154269812703276,1.8039309513564983,1
prediction_driven,no_regularities,remove_composition,0,4.154269812703276,1.8039309513564983,1
prediction_driven,no_regularities,remove_hierarchy,0,4.154269812703276,1.8039309513564983,1
prediction_driven,hierarchical,standard,0,-1.246669074650191,-1.6005663409868618,5
prediction_driven,hierarchical,equal_abstraction_budget,0,-1.246669074650191,-1.6005663409868618,5
prediction_driven,hierarchical,remove_composition,0,0.8838107032669843,-2.6783741849628444,3
prediction_driven,hierarchical,remove_hierarchy,0,0.40878343597526534,-2.2733644726411746,3
prediction_driven,compositional,standard,0,-1.5189545519682346,-1.6768346158928067,5
prediction_driven,compositional,equal_abstraction_budget,0,-1.5189545519682346,-1.6768346158928067,5
prediction_driven,compositional,remove_composition,0,0.6981615141864999,-2.7303752814896254,3
prediction_driven,compositional,remove_hierarchy,0,0.24788747210551226,-2.318432089631051,3
prediction_driven,partial,standard,0,-0.9658866520469422,0.7870058947262949,-1
prediction_driven,partial,equal_abstraction_budget,0,-0.9658866520469422,0.7870058947262949,-1
prediction_driven,partial,remove_composition,0,1.3231821757386109,-0.7752341039261009,3
prediction_driven,partial,remove_hierarchy,0,0.4328724883611214,0.2774318209196252,3
prediction_driven,anti_compositional,standard,0,1.122285561763538,-4.3655963968423634,3
prediction_driven,anti_compositional,equal_abstraction_budget,0,1.122285561763538,-4.3655963968423634,3
prediction_driven,anti_compositional,remove_composition,0,1.122285561763538,-4.3655963968423634,3
prediction_driven,anti_compositional,remove_hierarchy,0,1.122285561763538,-4.3655963968423634,3
constraint_driven,random,standard,0,-1.3744848685173652,2.6116199839236125,0
constraint_driven,random,equal_abstraction_budget,0,-1.3744848685173652,2.6116199839236125,0
constraint_driven,random,remove_composition,0,3.678207852674683,1.6978371373202061,1
constraint_driven,random,remove_hierarchy,0,-0.033939452716632235,2.1602198758472513,3
constraint_driven,no_regularities,standard,0,4.154269812703276,1.8039309513564983,1
constraint_driven,no_regularities,equal_abstraction_budget,0,4.154269812703276,1.8039309513564983,1
constraint_driven,no_regularities,remove_composition,0,4.154269812703276,1.8039309513564983,1
constraint_driven,no_regularities,remove_hierarchy,0,4.154269812703276,1.8039309513564983,1
constraint_driven,hierarchical,standard,0,-5.978734546063423,0.5651432728064657,2
constraint_driven,hierarchical,equal_abstraction_budget,0,-5.521542390783514,0.8304292548055869,2
constraint_driven,hierarchical,remove_composition,0,0.880840190254166,-2.681675358095041,3
constraint_driven,hierarchical,remove_hierarchy,0,-1.1624539995586907,-1.5562541073776381,3
constraint_driven,compositional,standard,0,-6.350032924224392,0.4611410797529043,2
constraint_driven,compositional,equal_abstraction_budget,0,-5.843334318523021,0.7402940208258337,2
constraint_driven,compositional,remove_composition,0,0.6951910011736816,-2.733676454621822,3
constraint_driven,compositional,remove_hierarchy,0,-1.1995838373747878,-1.5666543266829942,3
constraint_driven,partial,standard,0,-3.917219080998147,2.060488680904051,-1
constraint_driven,partial,equal_abstraction_budget,0,-3.88835673336657,2.0566150698099634,-1
constraint_driven,partial,remove_composition,0,1.2167034370258683,-0.2383188455042488,3
constraint_driven,partial,remove_hierarchy,0,1.1547066628770384,-0.5140579728048561,3
constraint_driven,anti_compositional,standard,0,-5.956120837846352,0.7257965829487786,2
constraint_driven,anti_compositional,equal_abstraction_budget,0,-5.51298282585127,0.8939618433994431,2
constraint_driven,anti_compositional,remove_composition,0,1.1531887981740714,-3.504035397468945,3
constraint_driven,anti_compositional,remove_hierarchy,0,-0.4238929601601538,-1.399058447723709,3
mdl_like,random,standard,0,2.363218909402252,1.4317013830321441,3
mdl_like,random,equal_abstraction_budget,0,2.363218909402252,1.4317013830321441,3
mdl_like,random,remove_composition,0,3.722749874429131,1.5987851094430692,1
mdl_like,random,remove_hierarchy,0,2.363218909402252,1.4317013830321441,3
mdl_like,no_regularities,standard,0,4.154269812703276,1.8039309513564983,1
mdl_like,no_regularities,equal_abstraction_budget,0,4.154269812703276,1.8039309513564983,1
mdl_like,no_regularities,remove_composition,0,4.154269812703276,1.8039309513564983,1
mdl_like,no_regularities,remove_hierarchy,0,4.154269812703276,1.8039309513564983,1
mdl_like,hierarchical,standard,0,-1.5368597048689567,-1.7786283164117742,5
mdl_like,hierarchical,equal_abstraction_budget,0,-1.5368597048689567,-1.7786283164117742,5
mdl_like,hierarchical,remove_composition,0,0.8834186999051568,-3.1810316107440992,3
mdl_like,hierarchical,remove_hierarchy,0,0.4345352197921144,-2.5693344655006327,3
mdl_like,compositional,standard,0,-1.8091451821870004,-1.8548965913177191,5
mdl_like,compositional,equal_abstraction_budget,0,-1.8091451821870004,-1.8548965913177191,5
mdl_like,compositional,remove_composition,0,0.6977695108246724,-3.2330327072708798,3
mdl_like,compositional,remove_hierarchy,0,0.27363925592236127,-2.614402082490509,3
mdl_like,partial,standard,0,0.8537459170376293,-0.09104574694857595,3
mdl_like,partial,equal_abstraction_budget,0,0.8537459170376293,-0.09104574694857595,3
mdl_like,partial,remove_composition,0,1.3660930257602217,-0.557345986423611,3
mdl_like,partial,remove_hierarchy,0,0.8537459170376293,-0.09104574694857595,3
mdl_like,anti_compositional,standard,0,1.1789613138563033,-3.3300927414102324,3
mdl_like,anti_compositional,equal_abstraction_budget,0,1.1789613138563033,-3.3300927414102324,3
mdl_like,anti_compositional,remove_composition,0,1.1789613138563033,-3.3300927414102324,3
mdl_like,anti_compositional,remove_hierarchy,0,1.1789613138563033,-3.3300927414102324,3
information_bottleneck_like,random,standard,0,-0.9164339238918296,2.4739412507377287,0
information_bottleneck_like,random,equal_abstraction_budget,0,-0.9164339238918296,2.4739412507377287,0
information_bottleneck_like,random,remove_composition,0,4.154269812703276,1.8039309513564983,1
information_bottleneck_like,random,remove_hierarchy,0,0.6600209620970381,1.8168549615086147,3
information_bottleneck_like,no_regularities,standard,0,4.154269812703276,1.8039309513564983,1
information_bottleneck_like,no_regularities,equal_abstraction_budget,0,4.154269812703276,1.8039309513564983,1
information_bottleneck_like,no_regularities,remove_composition,0,4.154269812703276,1.8039309513564983,1
information_bottleneck_like,no_regularities,remove_hierarchy,0,4.154269812703276,1.8039309513564983,1
information_bottleneck_like,hierarchical,standard,0,-4.167159994673734,1.7354510128198535,4
information_bottleneck_like,hierarchical,equal_abstraction_budget,0,-4.167159994673734,1.7354510128198535,4
information_bottleneck_like,hierarchical,remove_composition,0,0.8806218976929308,-3.184434127393662,3
information_bottleneck_like,hierarchical,remove_hierarchy,0,-0.42665598433681534,0.32203054118510926,3
information_bottleneck_like,compositional,standard,0,-4.534553467191005,1.6159819838413794,4
information_bottleneck_like,compositional,equal_abstraction_budget,0,-4.534553467191005,1.6159819838413794,4
information_bottleneck_like,compositional,remove_composition,0,0.6949727086124464,-3.2364352239204424,3
information_bottleneck_like,compositional,remove_hierarchy,0,-0.6217758451528521,0.2265431025503386,3
information_bottleneck_like,partial,standard,0,-2.964104165381605,2.307207763402137,4
information_bottleneck_like,partial,equal_abstraction_budget,0,-2.964104165381605,2.307207763402137,4
information_bottleneck_like,partial,remove_composition,0,1.3093117206804872,-0.49644055533902753,3
information_bottleneck_like,partial,remove_hierarchy,0,0.4468591713821856,1.1292209461447356,3
information_bottleneck_like,anti_compositional,standard,0,-5.284996009809864,1.1850631242581156,2
information_bottleneck_like,anti_compositional,equal_abstraction_budget,0,-5.2147383856518355,1.1812823350113757,2
information_bottleneck_like,anti_compositional,remove_composition,0,1.1531887981740714,-3.504035397468945,3
information_bottleneck_like,anti_compositional,remove_hierarchy,0,0.3196608166173338,-1.769577183812776,3
